release_date,poster_path,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,backdrop_path,genre_names,collection,collection_name
2022-09-25,/aU0NLrDxDbKQuTB1kuIBrmuogKU.jpg,2.777,0,0,0,0,105,Released,FALSE,NA,Horror,NA,NA
1974-02-02,/o1z97vq3rer8YYwW4atq22rJMbk.jpg,2.776,34,5.5,0,0,74,Released,FALSE,NA,"Horror, Science Fiction, Thriller, TV Movie",NA,NA
2001-04-23,/x3rn9LruDwVx4P5YWV31hjFalVE.jpg,2.775,18,4.9,0,0,96,Released,FALSE,NA,"Drama, Horror",NA,NA
1972-07-10,/zTYGiEmajJF6epaF9TRtL11u5vc.jpg,2.775,25,6.5,0,0,91,Released,FALSE,/eIH1NgJx5btpvcamE5IFumZTGZM.jpg,"Crime, Horror, Thriller, Western",NA,NA
1989-01-01,/oX53KkEaGF2MfwOOJaBOYASALNC.jpg,2.775,24,2.8,2000,0,75,Released,FALSE,NA,Horror,242275,Violent Shit Collection
1983-11-18,/gaiiYALkRbwd3Dl9jF7zEu3JDBO.jpg,2.774,33,4.8,0,0,81,Released,FALSE,/2D2tmsVkNGRfRSrPrc2uInn6vsd.jpg,"Horror, Science Fiction",NA,NA
1978-11-22,/4KxAs6vTeVKuRAqF2dVcomJnH9d.jpg,2.774,15,4.2,0,0,80,Released,FALSE,/veFIiZkNnvA11Xdvv8OI2s9wRLb.jpg,"Action, Horror, Science Fiction, Thriller",NA,NA
1982-12-31,/v4Nmsv4fwlOUO2GMtE0N2MUpW3H.jpg,2.774,10,5.8,0,0,94,Released,FALSE,/p4KhT3E16smLzVJy4nkHG0k653o.jpg,Horror,NA,NA
2013-06-18,/2qaGSF8TraBlsUKIBZThm25cyZh.jpg,2.774,25,5.5,0,0,87,Released,FALSE,NA,"Horror, Thriller",NA,NA
2022-01-28,/nxyLUqInaG4z89hPspLvbTNv0ay.jpg,2.774,3,4,0,0,89,Released,FALSE,/35yyHzlMKr04vgyrf7ZClRpDSjt.jpg,"Action, Horror",NA,NA
1987-09-19,/tx4MimacfBvyErRk7KQGoWCB6Zb.jpg,2.773,13,5.8,0,0,63,Released,FALSE,/1qVlVrjQCP564jJSOLMvos1kcok.jpg,"Crime, Horror",NA,NA
2017-01-09,/a7CSbUGnz8ddzVIjkHwdFIYwSSz.jpg,2.773,17,4.8,0,0,102,Released,FALSE,NA,Horror,NA,NA
2019-03-01,/g9zE1tPndPUtjXpHZ232jefeQft.jpg,2.773,15,4.1,0,0,76,Released,FALSE,/6jTTs85WdsFCm3ClhnTEHbwztNE.jpg,"Comedy, Horror, Thriller",NA,NA
1969-05-14,/eHVvmz1dtR43MT0y7oMXiLDE3yY.jpg,2.771,6,3.8,0,0,98,Released,FALSE,/ma2ID4p0C3SJrqnJRJScWgy1XXv.jpg,Horror,NA,NA
2020-02-28,/lfBDzmzDMD4vgVXyUZMTrdut8kL.jpg,2.771,10,5,0,0,99,Released,FALSE,/wr1yWFhAlW7MAWTfADlqoeWkHWY.jpg,Horror,NA,NA
2004-03-06,/uBHpAbskwe2GESonggBR7La9YEu.jpg,2.77,26,6,0,0,87,Released,FALSE,/vRT4H3CJJwvOwbX8xSskX1BHCeC.jpg,Horror,NA,NA
2007-04-03,/iC06CzDbbgiSRXfgXBc8CPwGhwm.jpg,2.77,13,5,0,0,86,Released,FALSE,/ajCPtXXh3baGRW3OtmMEuoeqe54.jpg,"Horror, Science Fiction",NA,NA
1988-01-01,/1lJji97zzB5pL6cS1GlxuPNclHU.jpg,2.77,38,6.3,0,0,80,Released,FALSE,/hScy7EZ0rGWu6rP2UHouv0VJdZx.jpg,"Action, Crime, Drama, Horror, Thriller",NA,NA
2018-02-27,/rG1fR6YDvc2Wsmr4MrruASbcTgb.jpg,2.77,25,5.6,0,0,75,Released,FALSE,/s0yNFAKJ8HM3iNrHdXB5kiyhPBQ.jpg,"Horror, Thriller",NA,NA
2020-12-01,/fr1XKBcjLDDMexm3bIIRtlJoTwl.jpg,2.769,8,5.5,10000,0,79,Released,FALSE,/a0rajpblyVGiOQ4kzKdwuWC9HVH.jpg,"Horror, Thriller",NA,NA
1969-10-31,/q1cgApkVjMPXSXVbJrfu1aPfbJZ.jpg,2.768,32,5.8,0,0,99,Released,FALSE,/4Nnh0j5yj8J5sdhXWqWu8052gjl.jpg,"Horror, Mystery",NA,NA
2011-07-08,/eVxhLrKgDmGnhAsdz9PDdrMKnO8.jpg,2.768,23,3.7,450000,0,90,Released,FALSE,/v771w4G0GtlhPIEafbXwxAttSp5.jpg,"Action, Fantasy, Horror, Mystery",NA,NA
2012-05-05,/3LLl9bKmvgeLoJu0v1oOrQxY3bf.jpg,2.766,33,5.7,1,0,89,Released,FALSE,/sPDUeswBk1WmfiPWInq5l7Keg04.jpg,"Drama, Horror, Thriller",NA,NA
